model,dataset,validation_precision,validation_recall,validation_f1,test_precision,test_recall,test_f1,evaluation_subset_size
BERT-based NER,CoNLL-2003,0.9448160535117057,0.9518194070080862,0.9483048002685466,0.9063970716402301,0.9213323883770376,0.9138037079342765,
CRF,CoNLL-2003,0.890890015737017,0.8574554022214742,0.8738530143212417,0.8131642737273914,0.7721317280453258,0.7921169739351559,
BiLSTM-CRF,CoNLL-2003,0.785158891142664,0.7817233254796365,0.7834373418789004,0.7052094332981345,0.7094546742209632,0.7073256840247131,
LLM-based NER,CoNLL-2003,,,,0.7739130434782608,0.1324404761904762,0.22617534942820838,300.0
